iter	RMSE
0	0.0488955544
1	0.04690641383
2	0.04501629164
3	0.04323547578
4	0.0415702937
5	0.03999375817
6	0.03851643507
7	0.03712794956
8	0.03581460478
9	0.03459346855
10	0.03344503327
11	0.03236409371
12	0.03134977678
13	0.03040531082
14	0.02953511475
15	0.02871823948
16	0.02795324132
17	0.02724441554
18	0.02658764153
19	0.02597604519
20	0.02539953362
21	0.02486858877
22	0.02437924608
23	0.02392678763
24	0.0235124022
25	0.02312784197
26	0.02277291176
27	0.02244024446
28	0.02213671718
29	0.02186033228
30	0.02160225766
31	0.02136598583
32	0.02115100722
33	0.02094867253
34	0.0207636712
35	0.02059434262
36	0.02044107103
37	0.02030251991
38	0.02017425503
39	0.02005725872
40	0.01994743382
41	0.01984633062
42	0.01975238209
43	0.01966717786
44	0.0195918331
45	0.0195189137
46	0.01945283069
47	0.01939180349
48	0.01933643782
49	0.01928624051
50	0.01924198305
51	0.01919856536
52	0.01915880544
53	0.01912273156
54	0.0190907713
55	0.0190600842
56	0.01903295085
57	0.01900834993
58	0.01898129101
59	0.01896010234
60	0.01893941282
61	0.01891860042
62	0.0189003957
63	0.01888389587
64	0.01886750145
65	0.01885423
66	0.01884078159
67	0.01882837034
68	0.01881618561
69	0.01880594521
70	0.01879677784
71	0.01878636273
72	0.01877881852
73	0.01877028797
74	0.01876195135
75	0.01875476427
76	0.01874758068
77	0.01874092379
78	0.01873476138
79	0.01872874076
80	0.01872409422
81	0.01871928743
82	0.01871520641
83	0.01871085475
84	0.01870597718
85	0.01870217314
86	0.01869742108
87	0.01869255799
88	0.0186894724
89	0.0186863274
90	0.01868236156
91	0.01867904159
92	0.01867610843
93	0.01867243551
94	0.01867003987
95	0.01866743595
96	0.01866426867
97	0.01866112802
98	0.01865790584
99	0.01865481825
100	0.01865150839
101	0.01864800027
102	0.01864591819
103	0.01864418853
104	0.01864225392
105	0.01863941472
106	0.01863662977
107	0.01863457101
108	0.0186324709
109	0.01863081559
110	0.01862941932
111	0.01862687829
112	0.01862573886
113	0.01862393754
114	0.01862266901
115	0.01862147112
116	0.01862023675
117	0.01861808923
118	0.01861669801
119	0.01861494317
120	0.01861274467
121	0.0186108311
122	0.01860859366
123	0.01860592299
124	0.018604074
125	0.0186027852
126	0.01860133644
127	0.01859954548
128	0.01859768479
129	0.01859657788
130	0.01859555185
131	0.01859390164
132	0.01859302087
133	0.01859204775
134	0.018590882
135	0.01859025462
136	0.01858926526
137	0.01858739015
138	0.01858644216
139	0.0185860211
140	0.01858468668
141	0.01858279496
142	0.01858205644
143	0.01858086233
144	0.01858027264
145	0.01857923322
146	0.01857747368
147	0.01857626017
148	0.01857547274
149	0.01857462307
150	0.01857390121
151	0.01857299389
152	0.01857235973
153	0.01857118151
154	0.01856980931
155	0.0185684387
156	0.01856797454
157	0.01856704046
158	0.01856640807
159	0.01856540692
160	0.01856490845
161	0.01856471344
162	0.01856353999
163	0.01856242377
164	0.0185616622
165	0.01856052102
166	0.01855941082
167	0.01855874603
168	0.01855763227
169	0.01855642616
170	0.01855578143
171	0.01855519984
172	0.01855446017
173	0.01855323142
174	0.01855273645
175	0.01855190186
176	0.01855123151
177	0.01855062523
178	0.01855017295
179	0.0185495364
180	0.01854880872
181	0.0185479721
182	0.01854731833
183	0.01854631931
184	0.01854543572
185	0.01854468274
186	0.01854403316
187	0.01854384171
188	0.01854335805
189	0.01854270279
190	0.01854168782
191	0.01854088223
192	0.01854024596
193	0.01854008449
194	0.01853918206
195	0.01853866491
196	0.01853751108
197	0.01853656579
198	0.01853623241
199	0.01853538334
